,Pre Context,Post Context,Current Utterance,No,csi_annotations_final
305,Bob: Yep. Pretty much.,"Bob: Huh, I never really noticed.","Joey Tribbiani: You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.",30,"[('nibbly noise', 'G', '3', 'I')]"
306,"Joey Tribbiani: You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.","Joey Tribbiani: Oh, yeah, yeah, listen for it.","Bob: Huh, I never really noticed.",30,[]
307,"Bob: Huh, I never really noticed.","Bob: Monica, Monica is great.","Joey Tribbiani: Oh, yeah, yeah, listen for it.",30,[]
308,"Joey Tribbiani: Oh, yeah, yeah, listen for it.","Joey Tribbiani: Yeah, but it's not gonna last. She's too much for me in bed. Sexually.","Bob: Monica, Monica is great.",30,[]
309,"Bob: Monica, Monica is great.",,"Joey Tribbiani: Yeah, but it's not gonna last. She's too much for me in bed. Sexually.",30,"[('in bed. Sexually', 'T', '3', 'I')]"
310,,"Angela Delveccio: Yeah, isn't he?","Monica Geller: I've gotta tell you, Bob is terrific.",31,[]
311,"Monica Geller: I've gotta tell you, Bob is terrific.","Monica Geller: It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight.","Angela Delveccio: Yeah, isn't he?",31,[]
312,"Angela Delveccio: Yeah, isn't he?",Angela Delveccio: You know what else? He's unbelievable in bed.,"Monica Geller: It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight.",31,[]
313,"Monica Geller: It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight.",Monica Geller: Wow. My brother never even told me when he lost his virginity.,Angela Delveccio: You know what else? He's unbelievable in bed.,31,"[('unbelievable in bed', 'T', '2', 'I')]"
314,Angela Delveccio: You know what else? He's unbelievable in bed.,Angela Delveccio: Huh. That's nice.,Monica Geller: Wow. My brother never even told me when he lost his virginity.,31,[]
315,Monica Geller: Wow. My brother never even told me when he lost his virginity.,,Angela Delveccio: Huh. That's nice.,31,[]
316,,"Ross Geller: That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? I'm sorry, that's all the time we have. Next on Ross... Uh-oh.","Rachel Green: Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn't anything I can't do.",32,[]
317,"Rachel Green: Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn't anything I can't do.",Rachel Green: What uh-oh?,"Ross Geller: That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? I'm sorry, that's all the time we have. Next on Ross... Uh-oh.",32,[]
318,"Ross Geller: That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? I'm sorry, that's all the time we have. Next on Ross... Uh-oh.","Ross Geller: Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh.",Rachel Green: What uh-oh?,32,[]
319,Rachel Green: What uh-oh?,"Rachel Green: Ross, what's the matter?","Ross Geller: Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh.",32,"[('laundry song', 'I', '3', 'I')]"
320,"Ross Geller: Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh.","Ross Geller: Nothing, nothing. Lee-lo, the laundry's done.","Rachel Green: Ross, what's the matter?",32,[]
321,"Rachel Green: Ross, what's the matter?","Rachel Green: Come on, show me.","Ross Geller: Nothing, nothing. Lee-lo, the laundry's done.",32,[]
322,"Ross Geller: Nothing, nothing. Lee-lo, the laundry's done.","Ross Geller: All right, all right, it's just that you left a red sock in with all your whites, and now, everything's kinda pink.","Rachel Green: Come on, show me.",32,[]
323,"Rachel Green: Come on, show me.","Rachel Green: Oh, everything's pink.","Ross Geller: All right, all right, it's just that you left a red sock in with all your whites, and now, everything's kinda pink.",32,[]
324,"Ross Geller: All right, all right, it's just that you left a red sock in with all your whites, and now, everything's kinda pink.","Ross Geller: Yeah, uh, except for the red sock, which is still red. I'm sorry, please don't be upset, it could happen to anyone.","Rachel Green: Oh, everything's pink.",32,[]
325,"Rachel Green: Oh, everything's pink.","Rachel Green: Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!","Ross Geller: Yeah, uh, except for the red sock, which is still red. I'm sorry, please don't be upset, it could happen to anyone.",32,[]
326,"Ross Geller: Yeah, uh, except for the red sock, which is still red. I'm sorry, please don't be upset, it could happen to anyone.","TRANSCRIPT_NOTE: (The woman who had tried to steal the washing machine walks by, and laughs.)","Rachel Green: Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!",32,[]
327,"Rachel Green: Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!",,"TRANSCRIPT_NOTE: (The woman who had tried to steal the washing machine walks by, and laughs.)",32,[]
328,,"Chandler Bing: You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom...","Rachel Green: Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!",33,[]
329,"Rachel Green: Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!","Phoebe Buffay: The exclamation point in the title scares me. Y'know, it's not just Freud, it's Freud!","Chandler Bing: You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom...",33,[]
330,"Chandler Bing: You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom...",TRANSCRIPT_NOTE: (The lights dim.),"Phoebe Buffay: The exclamation point in the title scares me. Y'know, it's not just Freud, it's Freud!",33,"[('Freud', 'I', '2', 'I')]"
331,"Phoebe Buffay: The exclamation point in the title scares me. Y'know, it's not just Freud, it's Freud!","Ross Geller: Oh, shhh, shh. Magic is about to happen.",TRANSCRIPT_NOTE: (The lights dim.),33,[]
332,TRANSCRIPT_NOTE: (The lights dim.),"TRANSCRIPT_NOTE: (The lights go up on the stage, Joey, as Freud, is talking to a female patient.)","Ross Geller: Oh, shhh, shh. Magic is about to happen.",33,[]
333,"Ross Geller: Oh, shhh, shh. Magic is about to happen.","Joey Tribbiani: Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.","TRANSCRIPT_NOTE: (The lights go up on the stage, Joey, as Freud, is talking to a female patient.)",33,"[('Freud', 'I', '3', 'I')]"
334,"TRANSCRIPT_NOTE: (The lights go up on the stage, Joey, as Freud, is talking to a female patient.)","Joey Tribbiani: All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let hang...","Joey Tribbiani: Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.",33,[]
335,"Joey Tribbiani: Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.",,"Joey Tribbiani: All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let hang...",33,"[('dingle', 'M', '3', 'I'), ('schwang', 'M', '3', 'I'), ('dingle', 'T', '3', 'I'), ('schwang', 'T', '3', 'I')]"
336,,"Joey Tribbiani: Uh, listen, I just wanna thank you for this great opportunity.","Director: ...Dammit, hire the girl! Okay, everybody ready?",34,[]
337,"Director: ...Dammit, hire the girl! Okay, everybody ready?",Director: Lose the robe.,"Joey Tribbiani: Uh, listen, I just wanna thank you for this great opportunity.",34,[]
338,"Joey Tribbiani: Uh, listen, I just wanna thank you for this great opportunity.",Joey Tribbiani: Me?,Director: Lose the robe.,34,[]
339,Director: Lose the robe.,Director: That would work.,Joey Tribbiani: Me?,34,[]
340,Joey Tribbiani: Me?,Joey Tribbiani: Right. Okay. Losing the robe. And the robe is lost.,Director: That would work.,34,[]
341,Director: That would work.,"Director: Okay, everybody, we'd like to get this in one take, please. Let's roll it.. water's working .. and... action.",Joey Tribbiani: Right. Okay. Losing the robe. And the robe is lost.,34,[]
342,Joey Tribbiani: Right. Okay. Losing the robe. And the robe is lost.,"TRANSCRIPT_NOTE: (Joey starts to the shower with a grim, determined look on his face.)","Director: Okay, everybody, we'd like to get this in one take, please. Let's roll it.. water's working .. and... action.",34,[]
343,"Director: Okay, everybody, we'd like to get this in one take, please. Let's roll it.. water's working .. and... action.","Director: And cut. Hey, Butt Guy, what the hell are you doing?","TRANSCRIPT_NOTE: (Joey starts to the shower with a grim, determined look on his face.)",34,[]
344,"TRANSCRIPT_NOTE: (Joey starts to the shower with a grim, determined look on his face.)","Joey Tribbiani: Well, I'm- I'm showering.","Director: And cut. Hey, Butt Guy, what the hell are you doing?",34,"[('Butt Guy', 'F', '3', 'I'), ('what the hell', 'O', '3', 'I')]"
345,"Director: And cut. Hey, Butt Guy, what the hell are you doing?","Director: No, that was clenching.","Joey Tribbiani: Well, I'm- I'm showering.",34,[]
346,"Joey Tribbiani: Well, I'm- I'm showering.","Joey Tribbiani: Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be angry here.","Director: No, that was clenching.",34,"[('clenching', 'G', '3', 'I')]"
347,"Director: No, that was clenching.","Director: I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?","Joey Tribbiani: Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be angry here.",34,"[('his butt would be angry', 'G', '3', 'I')]"
348,"Joey Tribbiani: Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be angry here.",Joey Tribbiani: I was going for quiet desperation. But if you have to ask...,"Director: I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?",34,[]
349,"Director: I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?",,Joey Tribbiani: I was going for quiet desperation. But if you have to ask...,34,[]
350,,"Monica Geller: Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.","Rachel Green: Wow, this is so cool, you guys. The entire city is blacked out!",35,"[('blacked out', 'S', '2', 'I')]"
351,"Rachel Green: Wow, this is so cool, you guys. The entire city is blacked out!","Rachel Green: Wow, you guys, this is big.","Monica Geller: Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",35,"[('Manhattan', 'E', '2', 'T'), ('Brooklyn', 'E', '2', 'T'), ('Queens', 'E', '2', 'T')]"
352,"Monica Geller: Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.","Monica Geller: Pants and a sweater? Why, mom? Who am I gonna meet in a blackout? Power company guys? Eligible looters? Could we talk about this later? OK.","Rachel Green: Wow, you guys, this is big.",35,[]
353,"Rachel Green: Wow, you guys, this is big.",Phoebe Buffay: Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?,"Monica Geller: Pants and a sweater? Why, mom? Who am I gonna meet in a blackout? Power company guys? Eligible looters? Could we talk about this later? OK.",35,[]
354,"Monica Geller: Pants and a sweater? Why, mom? Who am I gonna meet in a blackout? Power company guys? Eligible looters? Could we talk about this later? OK.",TRANSCRIPT_NOTE: (Monica and Rachel look at Phoebe strangely.),Phoebe Buffay: Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?,35,[]
355,Phoebe Buffay: Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?,"Phoebe Buffay: Well, I never call me.",TRANSCRIPT_NOTE: (Monica and Rachel look at Phoebe strangely.),35,[]
356,TRANSCRIPT_NOTE: (Monica and Rachel look at Phoebe strangely.),,"Phoebe Buffay: Well, I never call me.",35,[]
357,,"Jill Goodacre: Hi Mom, it's Jill.","Chandler Bing: Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",36,"[(""Victoria's Secret"", 'M', '2', 'F'), ('Goodacre', 'I', '3', 'I')]"
358,"Chandler Bing: Oh my God, it's that Victoria's Secret model. Something... something Goodacre.","Chandler Bing: She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!","Jill Goodacre: Hi Mom, it's Jill.",36,[]
359,"Jill Goodacre: Hi Mom, it's Jill.","Jill Goodacre: Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.","Chandler Bing: She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",36,"[('ATM vestibule', 'M', '2', 'T'), ('atrium', 'M', '2', 'T')]"
360,"Chandler Bing: She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",Chandler Bing: Jill says vestibule... I'm going with vestibule.,"Jill Goodacre: Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",36,"[('ATM vestibule', 'M', '2', 'T')]"
361,"Jill Goodacre: Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.","Jill Goodacre: I'm fine. No, I'm not alone... I don't know, some guy.",Chandler Bing: Jill says vestibule... I'm going with vestibule.,36,"[('vestibule', 'M', '2', 'F')]"
362,Chandler Bing: Jill says vestibule... I'm going with vestibule.,"Chandler Bing: Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.","Jill Goodacre: I'm fine. No, I'm not alone... I don't know, some guy.",36,[]
363,"Jill Goodacre: I'm fine. No, I'm not alone... I don't know, some guy.",TRANSCRIPT_NOTE: (Chandler strides proudly across the vestibule and Jill stares at him.),"Chandler Bing: Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.",36,[]
364,"Chandler Bing: Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.",,TRANSCRIPT_NOTE: (Chandler strides proudly across the vestibule and Jill stares at him.),36,"[('vestibule', 'M', '3', 'F')]"
365,,"Ross Geller: And officiating at tonight's blackout, is Rabbi Tribbiani.",Joey Tribbiani: Hi everyone.,37,[]
366,Joey Tribbiani: Hi everyone.,"Joey Tribbiani: Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.","Ross Geller: And officiating at tonight's blackout, is Rabbi Tribbiani.",37,[]
367,"Ross Geller: And officiating at tonight's blackout, is Rabbi Tribbiani.","Phoebe Buffay: Eww, look. Ugly Naked Guy lit a bunch of candles.","Joey Tribbiani: Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.",37,[]
368,"Joey Tribbiani: Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.","TRANSCRIPT_NOTE: (They all look at the window, grossed out, then flinch in pain.)","Phoebe Buffay: Eww, look. Ugly Naked Guy lit a bunch of candles.",37,[]
369,"Phoebe Buffay: Eww, look. Ugly Naked Guy lit a bunch of candles.",Rachel Green: That had to hurt!,"TRANSCRIPT_NOTE: (They all look at the window, grossed out, then flinch in pain.)",37,[]
370,"TRANSCRIPT_NOTE: (They all look at the window, grossed out, then flinch in pain.)",,Rachel Green: That had to hurt!,37,[]
371,,"TRANSCRIPT_NOTE: (Chandler smiles at her, she smiles back sweetly.)","Chandler Bing: Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!",38,[]
372,"Chandler Bing: Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!",Chandler Bing: There you go!,"TRANSCRIPT_NOTE: (Chandler smiles at her, she smiles back sweetly.)",38,[]
373,"TRANSCRIPT_NOTE: (Chandler smiles at her, she smiles back sweetly.)","TRANSCRIPT_NOTE: (He continues to smile like an idiot, and she looks frightened.)",Chandler Bing: There you go!,38,[]
374,Chandler Bing: There you go!,Chandler Bing: You're definitely scaring here.,"TRANSCRIPT_NOTE: (He continues to smile like an idiot, and she looks frightened.)",38,[]
375,"TRANSCRIPT_NOTE: (He continues to smile like an idiot, and she looks frightened.)",Jill Goodacre: Would you like to call somebody?,Chandler Bing: You're definitely scaring here.,38,[]
376,Chandler Bing: You're definitely scaring here.,"Chandler Bing: Yeah, about 300 guys I went to high school with. Yeah, thanks.",Jill Goodacre: Would you like to call somebody?,38,[]
377,Jill Goodacre: Would you like to call somebody?,,"Chandler Bing: Yeah, about 300 guys I went to high school with. Yeah, thanks.",38,[]
378,,"Chandler Bing: Hey, it's me.",Monica Geller: Hello?,39,[]
379,Monica Geller: Hello?,Monica Geller: It's Chandler! Are you OK?,"Chandler Bing: Hey, it's me.",39,[]
380,"Chandler Bing: Hey, it's me.","Chandler Bing: Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",Monica Geller: It's Chandler! Are you OK?,39,[]
381,Monica Geller: It's Chandler! Are you OK?,Monica Geller: What?,"Chandler Bing: Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",39,[]
382,"Chandler Bing: Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",Chandler Bing: I'm trppd... in an ATM vstbl... wth Jll Gdcr!,Monica Geller: What?,39,[]
383,Monica Geller: What?,Monica Geller: I have no idea what you just said.,Chandler Bing: I'm trppd... in an ATM vstbl... wth Jll Gdcr!,39,[]
384,Chandler Bing: I'm trppd... in an ATM vstbl... wth Jll Gdcr!,Chandler Bing: Put Joey on the phone.,Monica Geller: I have no idea what you just said.,39,[]
385,Monica Geller: I have no idea what you just said.,Joey Tribbiani: What's up man?,Chandler Bing: Put Joey on the phone.,39,[]
386,Chandler Bing: Put Joey on the phone.,Chandler Bing: I'm trppd... in an ATM vstbl... wth JLL GDCR.,Joey Tribbiani: What's up man?,39,[]
387,Joey Tribbiani: What's up man?,"Joey Tribbiani: Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen.",Chandler Bing: I'm trppd... in an ATM vstbl... wth JLL GDCR.,39,[]
388,Chandler Bing: I'm trppd... in an ATM vstbl... wth JLL GDCR.,"Chandler Bing: Yeah, like that thought never entered my mind.","Joey Tribbiani: Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen.",39,"[('ATM vestibule', 'M', '2', 'T'), ('Jill Goodacre', 'I', '3', 'I')]"
389,"Joey Tribbiani: Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen.",,"Chandler Bing: Yeah, like that thought never entered my mind.",39,[]
390,,"Ross Geller: OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",Rachel Green: Hmmm... this is so nice.,40,[]
391,Rachel Green: Hmmm... this is so nice.,Rachel Green: OK.,"Ross Geller: OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",40,[]
392,"Ross Geller: OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.","Ross Geller: OK. Here goes. For a while now, I've been wanting to, um....",Rachel Green: OK.,40,[]
393,Rachel Green: OK.,Rachel Green: Ohhh!!!!,"Ross Geller: OK. Here goes. For a while now, I've been wanting to, um....",40,[]
394,"Ross Geller: OK. Here goes. For a while now, I've been wanting to, um....","Ross Geller: Yes, yes, that's right...",Rachel Green: Ohhh!!!!,40,[]
395,Rachel Green: Ohhh!!!!,"Rachel Green: Oh, look at the little cat!","Ross Geller: Yes, yes, that's right...",40,[]
396,"Ross Geller: Yes, yes, that's right...",Ross Geller: What? Ow!,"Rachel Green: Oh, look at the little cat!",40,[]
397,"Rachel Green: Oh, look at the little cat!","TRANSCRIPT_NOTE: [Cut to inside. Monica, Joey and Phoebe are singing while outside, Ross and Rachel are trying to get the cat off of Ross' shoulder.]",Ross Geller: What? Ow!,40,[]
398,Ross Geller: What? Ow!,"Joey Tribbiani: I'm on top of the world, looking down on creation and the only explanation I can find, is the wonders I've found ever since...","TRANSCRIPT_NOTE: [Cut to inside. Monica, Joey and Phoebe are singing while outside, Ross and Rachel are trying to get the cat off of Ross' shoulder.]",40,[]
399,"TRANSCRIPT_NOTE: [Cut to inside. Monica, Joey and Phoebe are singing while outside, Ross and Rachel are trying to get the cat off of Ross' shoulder.]",,"Joey Tribbiani: I'm on top of the world, looking down on creation and the only explanation I can find, is the wonders I've found ever since...",40,[]
400,,TRANSCRIPT_NOTE: (Ross flinches in pain.),Monica Geller: This is just Bactine. It won't hurt.,41,"[('Bactine', 'M', '3', 'T')]"
401,Monica Geller: This is just Bactine. It won't hurt.,"Joey Tribbiani: Sorry, that was wax.",TRANSCRIPT_NOTE: (Ross flinches in pain.),41,[]
402,TRANSCRIPT_NOTE: (Ross flinches in pain.),"Phoebe Buffay: Oh, poor little Tooty is scared to death. We should find his owner.","Joey Tribbiani: Sorry, that was wax.",41,[]
403,"Joey Tribbiani: Sorry, that was wax.",Ross Geller: Why don't we just put 'poor little Tooty' out in the hall?,"Phoebe Buffay: Oh, poor little Tooty is scared to death. We should find his owner.",41,"[('Tooty', 'F', '2', 'I')]"
404,"Phoebe Buffay: Oh, poor little Tooty is scared to death. We should find his owner.",Rachel Green: During a blackout? He'd get trampled!,Ross Geller: Why don't we just put 'poor little Tooty' out in the hall?,41,"[('poor little Tooty', 'F', '3', 'I')]"
405,Ross Geller: Why don't we just put 'poor little Tooty' out in the hall?,Ross Geller: Yeah?,Rachel Green: During a blackout? He'd get trampled!,41,[]
406,Rachel Green: During a blackout? He'd get trampled!,,Ross Geller: Yeah?,41,[]
407,,Rachel Green: Oh. Hi. We just found this cat and we're looking for the owner.,"Phoebe Buffay: Oh no, the Mendels, they hate all living things, right?",42,"[('Mendels', 'I', '3', 'I')]"
408,"Phoebe Buffay: Oh no, the Mendels, they hate all living things, right?","Mr. Heckles: Er, yeah, it's mine.",Rachel Green: Oh. Hi. We just found this cat and we're looking for the owner.,42,[]
409,Rachel Green: Oh. Hi. We just found this cat and we're looking for the owner.,Phoebe Buffay: He seems to hate you. Are you sure?,"Mr. Heckles: Er, yeah, it's mine.",42,[]
410,"Mr. Heckles: Er, yeah, it's mine.","Mr. Heckles: Yeah, it's my cat. Give me my cat.",Phoebe Buffay: He seems to hate you. Are you sure?,42,[]
411,Phoebe Buffay: He seems to hate you. Are you sure?,Phoebe Buffay: Wait a minute. What's his name?,"Mr. Heckles: Yeah, it's my cat. Give me my cat.",42,[]
412,"Mr. Heckles: Yeah, it's my cat. Give me my cat.",Mr. Heckles: Ehhhh... B-Buttons.,Phoebe Buffay: Wait a minute. What's his name?,42,[]
413,Phoebe Buffay: Wait a minute. What's his name?,Rachel Green: Bob Buttons?,Mr. Heckles: Ehhhh... B-Buttons.,42,"[('B-Buttons', 'M', '3', 'I')]"
414,Mr. Heckles: Ehhhh... B-Buttons.,"Mr. Heckles: Mmm. Bob Buttons. Here, Bob Buttons.",Rachel Green: Bob Buttons?,42,"[('Bob Buttons', 'I', '3', 'I')]"
415,Rachel Green: Bob Buttons?,Phoebe Buffay: Oooh! You are a very bad man!,"Mr. Heckles: Mmm. Bob Buttons. Here, Bob Buttons.",42,[]
416,"Mr. Heckles: Mmm. Bob Buttons. Here, Bob Buttons.",Mr. Heckles: You owe me a cat.,Phoebe Buffay: Oooh! You are a very bad man!,42,[]
417,Phoebe Buffay: Oooh! You are a very bad man!,,Mr. Heckles: You owe me a cat.,42,[]
418,,"TRANSCRIPT_NOTE: (Chandler waits until Jill is looking, then starts to blow a bubble. But instead of blow one, he accidentally spits the gum out of his mouth and hits the wall.)","Chandler Bing: Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go.",43,[]
419,"Chandler Bing: Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go.","Chandler Bing: Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.","TRANSCRIPT_NOTE: (Chandler waits until Jill is looking, then starts to blow a bubble. But instead of blow one, he accidentally spits the gum out of his mouth and hits the wall.)",43,"[('gum', 'M', '2', 'T'), ('blowing a bubble', 'G', '2', 'I')]"
420,"TRANSCRIPT_NOTE: (Chandler waits until Jill is looking, then starts to blow a bubble. But instead of blow one, he accidentally spits the gum out of his mouth and hits the wall.)","Chandler Bing: Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking.","Chandler Bing: Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.",43,[]
421,"Chandler Bing: Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.",TRANSCRIPT_NOTE: (Chandler starts to choke.),"Chandler Bing: Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking.",43,"[('chewing gum', 'M', '2', 'T'), ('choking', 'G', '2', 'I')]"
422,"Chandler Bing: Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking.",Jill Goodacre: Are you alright?,TRANSCRIPT_NOTE: (Chandler starts to choke.),43,[]
423,TRANSCRIPT_NOTE: (Chandler starts to choke.),"TRANSCRIPT_NOTE: (Chandler tries to save face and makes the 'OK' sign with his hands, while obviously unable to breathe.)",Jill Goodacre: Are you alright?,43,[]
424,Jill Goodacre: Are you alright?,"Jill Goodacre: My God, you're choking! That better?","TRANSCRIPT_NOTE: (Chandler tries to save face and makes the 'OK' sign with his hands, while obviously unable to breathe.)",43,[]
425,"TRANSCRIPT_NOTE: (Chandler tries to save face and makes the 'OK' sign with his hands, while obviously unable to breathe.)",Chandler Bing: Yes... thank you. That was... that was....,"Jill Goodacre: My God, you're choking! That better?",43,"[('choking', 'G', '2', 'I')]"
426,"Jill Goodacre: My God, you're choking! That better?",Jill Goodacre: Perfection?,Chandler Bing: Yes... thank you. That was... that was....,43,[]
427,Chandler Bing: Yes... thank you. That was... that was....,,Jill Goodacre: Perfection?,43,[]
428,,Chandler Bing: OK.,"Jill Goodacre: Chandler, we've been here for an hour doing this! Now watch, it's easy.",44,[]
429,"Jill Goodacre: Chandler, we've been here for an hour doing this! Now watch, it's easy.",Jill Goodacre: Ready?,Chandler Bing: OK.,44,[]
430,Chandler Bing: OK.,TRANSCRIPT_NOTE: (Chandler tries to do the same thing but the pen hits him in the head.),Jill Goodacre: Ready?,44,[]
431,Jill Goodacre: Ready?,"Jill Goodacre: No, you've got to whip it.",TRANSCRIPT_NOTE: (Chandler tries to do the same thing but the pen hits him in the head.),44,[]
432,TRANSCRIPT_NOTE: (Chandler tries to do the same thing but the pen hits him in the head.),"TRANSCRIPT_NOTE: (He swings the pen hard, and it snaps back and almost hits him again.)","Jill Goodacre: No, you've got to whip it.",44,[]
433,"Jill Goodacre: No, you've got to whip it.",,"TRANSCRIPT_NOTE: (He swings the pen hard, and it snaps back and almost hits him again.)",44,[]
434,,Ross Geller: Thank you.,"Phoebe Buffay: Oh, look look look. The last candle's about to burn out. 10, 9, 8, 7... ... negative 46, negative 47, negative 48....",45,[]
435,"Phoebe Buffay: Oh, look look look. The last candle's about to burn out. 10, 9, 8, 7... ... negative 46, negative 47, negative 48....",Phoebe Buffay: Thanks.,Ross Geller: Thank you.,45,[]
436,Ross Geller: Thank you.,Ross Geller: Kinda... spooky without any lights.,Phoebe Buffay: Thanks.,45,[]
437,Phoebe Buffay: Thanks.,Joey Tribbiani: Bwah-hah-hah!,Ross Geller: Kinda... spooky without any lights.,45,[]
438,Ross Geller: Kinda... spooky without any lights.,TRANSCRIPT_NOTE: (Everyone starts to imitate him.),Joey Tribbiani: Bwah-hah-hah!,45,[]
