,Pre Context,Post Context,Current Utterance,No,csi items,categories,foreignness,level,corresponding_values,corresponding_values_filtered,csi_items_all,csi_items_fil
3632,Kate Miller: It doesn't say that in the script.,,Joey Tribbiani: It does in mine!,353,[],[],[],[],[],[],0,0
3633,,"Chandler Bing: I can blow dry it. I can put gel on it. It doesn't matter, I still wind up with this little cowlicky thing on the middle part of my head. It's so annoying. Does it bug you?","TRANSCRIPT_NOTE: [Scene: The Hallway, Chandler and Ross are returning from working out.]",354,['working out'],['M'],['2'],['I'],"[('working out', 'M', '2', 'I')]",[],1,1
3634,"TRANSCRIPT_NOTE: [Scene: The Hallway, Chandler and Ross are returning from working out.]",Ross Geller: You bug me.,"Chandler Bing: I can blow dry it. I can put gel on it. It doesn't matter, I still wind up with this little cowlicky thing on the middle part of my head. It's so annoying. Does it bug you?",354,"['blow dry', 'gel']","['M', 'M']","['2', '2']","['T', 'T']","[('blow dry', 'M', '2', 'T'), ('gel', 'M', '2', 'T')]",[],2,2
3635,"Chandler Bing: I can blow dry it. I can put gel on it. It doesn't matter, I still wind up with this little cowlicky thing on the middle part of my head. It's so annoying. Does it bug you?","TRANSCRIPT_NOTE: [Rachel comes out of her apartment, followed by Mark, and they leave on their date, without saying a word to Ross. Ross is stunned.]",Ross Geller: You bug me.,354,['You bug me'],['G'],['2'],['I'],"[('You bug me', 'G', '2', 'I')]","[('You bug me', 'G', '2', 'I')]",1,1
3636,Ross Geller: You bug me.,Chandler Bing: Is there any chance you didn't see that?,"TRANSCRIPT_NOTE: [Rachel comes out of her apartment, followed by Mark, and they leave on their date, without saying a word to Ross. Ross is stunned.]",354,[],[],[],[],[],[],0,0
3637,"TRANSCRIPT_NOTE: [Rachel comes out of her apartment, followed by Mark, and they leave on their date, without saying a word to Ross. Ross is stunned.]",,Chandler Bing: Is there any chance you didn't see that?,354,[],[],[],[],[],[],0,0
3638,,Mark Robinson: Why do all you're coffee mugs have numbers on the bottom?,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's, Rachel is pouring Mark some coffee.]",355,['coffee'],['M'],['2'],['T'],"[('coffee', 'M', '2', 'T')]",[],1,1
3639,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's, Rachel is pouring Mark some coffee.]","Rachel Green: Oh. That's so Monica can keep track. That way if one on them is missing, she can be like, 'Where's number 27?!'",Mark Robinson: Why do all you're coffee mugs have numbers on the bottom?,355,['coffee mugs'],['M'],['1'],['T'],"[('coffee mugs', 'M', '1', 'T')]",[],1,0
3640,Mark Robinson: Why do all you're coffee mugs have numbers on the bottom?,"TRANSCRIPT_NOTE: (She sits down, and Mark leans over and kisses her. Rachel doesn't react. He tries it again, and Rachel jumps back quickly.)","Rachel Green: Oh. That's so Monica can keep track. That way if one on them is missing, she can be like, 'Where's number 27?!'",355,['be like'],['F'],['2'],['I'],"[('be like', 'F', '2', 'I')]",[],1,1
3641,"Rachel Green: Oh. That's so Monica can keep track. That way if one on them is missing, she can be like, 'Where's number 27?!'",Rachel Green: Y'know what?,"TRANSCRIPT_NOTE: (She sits down, and Mark leans over and kisses her. Rachel doesn't react. He tries it again, and Rachel jumps back quickly.)",355,['kissing'],['G'],['1'],['I'],"[('kissing', 'G', '1', 'I')]",[],1,0
3642,"TRANSCRIPT_NOTE: (She sits down, and Mark leans over and kisses her. Rachel doesn't react. He tries it again, and Rachel jumps back quickly.)",Mark Robinson: No. And I don't think I'm gonna want to.,Rachel Green: Y'know what?,355,"[""Y'know what?""]",['G'],['2'],['I'],"[(""Y'know what?"", 'G', '2', 'I')]",[],1,1
3643,Rachel Green: Y'know what?,Rachel Green: I can't do this.,Mark Robinson: No. And I don't think I'm gonna want to.,355,[],[],[],[],[],[],0,0
3644,Mark Robinson: No. And I don't think I'm gonna want to.,"Mark Robinson: Yep. Yep, that's what I didn't want to know.",Rachel Green: I can't do this.,355,"[""can't do this""]",['F'],['1'],['I'],"[(""can't do this"", 'F', '1', 'I')]",[],1,0
3645,Rachel Green: I can't do this.,"Rachel Green: Well, oh, Mark, I'm doing this for the wrong reasons, y'know? I'm just doing it to get back at Ross. I'm sorry, it's not very fair to you.","Mark Robinson: Yep. Yep, that's what I didn't want to know.",355,['Yep'],['F'],['1'],['I'],"[('Yep', 'F', '1', 'I')]",[],1,0
3646,"Mark Robinson: Yep. Yep, that's what I didn't want to know.","Mark Robinson: Ahh! Fair, schmair! Y'know? Look, if you want to get back at Ross, I am here for you. Really? No-no, I say-I say, I say we get back at him right on this couch. Right here!","Rachel Green: Well, oh, Mark, I'm doing this for the wrong reasons, y'know? I'm just doing it to get back at Ross. I'm sorry, it's not very fair to you.",355,"[""y'know""]",['F'],['2'],['I'],"[(""y'know"", 'F', '2', 'I')]",[],1,1
3647,"Rachel Green: Well, oh, Mark, I'm doing this for the wrong reasons, y'know? I'm just doing it to get back at Ross. I'm sorry, it's not very fair to you.",Rachel Green: Oh God. I'm sorry about this.,"Mark Robinson: Ahh! Fair, schmair! Y'know? Look, if you want to get back at Ross, I am here for you. Really? No-no, I say-I say, I say we get back at him right on this couch. Right here!",355,[],[],[],[],[],[],0,0
3648,"Mark Robinson: Ahh! Fair, schmair! Y'know? Look, if you want to get back at Ross, I am here for you. Really? No-no, I say-I say, I say we get back at him right on this couch. Right here!",Mark Robinson: That's okay.,Rachel Green: Oh God. I'm sorry about this.,355,['Oh God'],['F'],['1'],['I'],"[('Oh God', 'F', '1', 'I')]",[],1,0
3649,Rachel Green: Oh God. I'm sorry about this.,Rachel Green: You sure?,Mark Robinson: That's okay.,355,"[""That's okay""]",['G'],['1'],['I'],"[(""That's okay"", 'G', '1', 'I')]",[],1,0
3650,Mark Robinson: That's okay.,Mark Robinson: Yeah. I can just go home and get back at him by myself.,Rachel Green: You sure?,355,['You sure?'],['G'],['1'],['I'],"[('You sure?', 'G', '1', 'I')]",[],1,0
3651,Rachel Green: You sure?,,Mark Robinson: Yeah. I can just go home and get back at him by myself.,355,[],[],[],[],[],[],0,0
3652,,Chandler Bing: I don't think this town is big enough for both of us to relax in. Draw!!,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's, Chandler is sitting in one of the black chairs, and turns to face the other one.]",356,"['black chairs', 'turns to face the other one']","['M', 'G']","['1', '1']","['T', 'I']","[('black chairs', 'M', '1', 'T'), ('turns to face the other one', 'G', '1', 'I')]",[],2,0
3653,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's, Chandler is sitting in one of the black chairs, and turns to face the other one.]",TRANSCRIPT_NOTE: (Joey enters.),Chandler Bing: I don't think this town is big enough for both of us to relax in. Draw!!,356,"['relax', 'Draw!!']","['S', 'S']","['2', '2']","['I', 'I']","[('relax', 'S', '2', 'I'), ('Draw!!', 'S', '2', 'I')]",[],2,2
3654,Chandler Bing: I don't think this town is big enough for both of us to relax in. Draw!!,"Chandler Bing: I wasn't doing anything. Uh-oh, what did she do now?",TRANSCRIPT_NOTE: (Joey enters.),356,['Joey enters'],['G'],['1'],['I'],"[('Joey enters', 'G', '1', 'I')]",[],1,0
3655,TRANSCRIPT_NOTE: (Joey enters.),"Joey Tribbiani: Just because she went to Yale drama, she thinks she's like the greatest actress since, since, sliced bread!","Chandler Bing: I wasn't doing anything. Uh-oh, what did she do now?",356,['Uh-oh'],['G'],['2'],['I'],"[('Uh-oh', 'G', '2', 'I')]",[],1,1
3656,"Chandler Bing: I wasn't doing anything. Uh-oh, what did she do now?","Chandler Bing: Ah, Sliced Bread, a wonderful Lady MacBeth.","Joey Tribbiani: Just because she went to Yale drama, she thinks she's like the greatest actress since, since, sliced bread!",356,['Yale drama'],['I'],['3'],['F'],"[('Yale drama', 'I', '3', 'F')]","[('Yale drama', 'I', '3', 'F')]",1,1
3657,"Joey Tribbiani: Just because she went to Yale drama, she thinks she's like the greatest actress since, since, sliced bread!","Joey Tribbiani: God, I just, I hate her! I hate her!! With her, 'Oh, I'm so talented.' and 'Oh, I'm so pretty,' and 'Ooh, I smell so good.'","Chandler Bing: Ah, Sliced Bread, a wonderful Lady MacBeth.",356,"['Sliced Bread', 'Lady MacBeth']","['M', 'I']","['1', '1']","['T', 'I']","[('Sliced Bread', 'M', '1', 'T'), ('Lady MacBeth', 'I', '1', 'I')]",[],2,0
3658,"Chandler Bing: Ah, Sliced Bread, a wonderful Lady MacBeth.",Chandler Bing: I think somebody has a crush on somebody.,"Joey Tribbiani: God, I just, I hate her! I hate her!! With her, 'Oh, I'm so talented.' and 'Oh, I'm so pretty,' and 'Ooh, I smell so good.'",356,['God'],['F'],['1'],['I'],"[('God', 'F', '1', 'I')]",[],1,0
3659,"Joey Tribbiani: God, I just, I hate her! I hate her!! With her, 'Oh, I'm so talented.' and 'Oh, I'm so pretty,' and 'Ooh, I smell so good.'","Joey Tribbiani: Hey, Chandler, can we please stay focused on my problem here?! Y'know?",Chandler Bing: I think somebody has a crush on somebody.,356,['I think somebody has a crush on somebody'],['F'],['2'],['I'],"[('I think somebody has a crush on somebody', 'F', '2', 'I')]","[('I think somebody has a crush on somebody', 'F', '2', 'I')]",1,1
3660,Chandler Bing: I think somebody has a crush on somebody.,"Chandler Bing: I'm talking about you. You big, big freak.","Joey Tribbiani: Hey, Chandler, can we please stay focused on my problem here?! Y'know?",356,"[""Y'know?""]",['F'],['2'],['I'],"[(""Y'know?"", 'F', '2', 'I')]",[],1,1
3661,"Joey Tribbiani: Hey, Chandler, can we please stay focused on my problem here?! Y'know?","Joey Tribbiani: Oh. Ohh. Ohh, you're out of your mind.","Chandler Bing: I'm talking about you. You big, big freak.",356,"['big, big freak', 'freak']","['F', 'O']","['2', '1']","['I', 'I']","[('big, big freak', 'F', '2', 'I'), ('freak', 'O', '1', 'I')]","[('big, big freak', 'F', '2', 'I')]",2,1
3662,"Chandler Bing: I'm talking about you. You big, big freak.","Chandler Bing: Hey, you have nothing but talk about her for the last 48 hours! If you were in a school yard you'd be pulling her pigtails and pushing her down now!","Joey Tribbiani: Oh. Ohh. Ohh, you're out of your mind.",356,"['Oh', 'Ohh', 'Ohh']","['G', 'G', 'G']","['1', '1', '1']","['I', 'I', 'I']","[('Oh', 'G', '1', 'I'), ('Ohh', 'G', '1', 'I'), ('Ohh', 'G', '1', 'I')]",[],3,0
3663,"Joey Tribbiani: Oh. Ohh. Ohh, you're out of your mind.","Joey Tribbiani: Oh, yeah?! Then how come I keep thinking about her in all these sexual scenarios and stuff huh?!","Chandler Bing: Hey, you have nothing but talk about her for the last 48 hours! If you were in a school yard you'd be pulling her pigtails and pushing her down now!",356,"['school yard', 'pulling her pigtails', 'pushing her down']","['S', 'G', 'G']","['2', '3', '3']","['I', 'I', 'I']","[('school yard', 'S', '2', 'I'), ('pulling her pigtails', 'G', '3', 'I'), ('pushing her down', 'G', '3', 'I')]","[('school yard', 'S', '2', 'I'), ('pulling her pigtails', 'G', '3', 'I'), ('pushing her down', 'G', '3', 'I')]",3,3
3664,"Chandler Bing: Hey, you have nothing but talk about her for the last 48 hours! If you were in a school yard you'd be pulling her pigtails and pushing her down now!",,"Joey Tribbiani: Oh, yeah?! Then how come I keep thinking about her in all these sexual scenarios and stuff huh?!",356,"['sexual scenarios', 'sexual scenarios', 'sexual scenarios']","['F', 'O', 'T']","['3', '3', '3']","['I', 'I', 'I']","[('sexual scenarios', 'F', '3', 'I'), ('sexual scenarios', 'O', '3', 'I'), ('sexual scenarios', 'T', '3', 'I')]","[('sexual scenarios', 'O', '3', 'I'), ('sexual scenarios', 'T', '3', 'I')]",3,3
3665,,"Phoebe Buffay: Hey! Why isn't it Spiderman? Y'know like Goldman, Silverman...","TRANSCRIPT_NOTE: [Scene: Monica and Rachel's, Monica is in the kitchen chopping vegetables. Chandler and Phoebe are sitting in the living room.]",357,"['kitchen', 'living room']","['M', 'M']","['1', '1']","['F', 'F']","[('kitchen', 'M', '1', 'F'), ('living room', 'M', '1', 'F')]",[],2,0
3666,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's, Monica is in the kitchen chopping vegetables. Chandler and Phoebe are sitting in the living room.]",Chandler Bing: 'Cause it's-it's not his last name.,"Phoebe Buffay: Hey! Why isn't it Spiderman? Y'know like Goldman, Silverman...",357,"['Goldman', 'Silverman']","['I', 'I']","['2', '2']","['I', 'I']","[('Goldman', 'I', '2', 'I'), ('Silverman', 'I', '2', 'I')]","[('Goldman', 'I', '2', 'I'), ('Silverman', 'I', '2', 'I')]",2,2
3667,"Phoebe Buffay: Hey! Why isn't it Spiderman? Y'know like Goldman, Silverman...",Phoebe Buffay: It isn't?,Chandler Bing: 'Cause it's-it's not his last name.,357,"[""'Cause it's-it's not his last name""]",['F'],['2'],['I'],"[(""'Cause it's-it's not his last name"", 'F', '2', 'I')]",[],1,1
3668,Chandler Bing: 'Cause it's-it's not his last name.,"Chandler Bing: No, it's not like, like Phil Spiderman. He's a spider, man. Y'know like ah, like Goldman is a last name, but there's no Gold Man.",Phoebe Buffay: It isn't?,357,[],[],[],[],[],[],0,0
3669,Phoebe Buffay: It isn't?,"Phoebe Buffay: Oh, okay. There should be Gold Man!","Chandler Bing: No, it's not like, like Phil Spiderman. He's a spider, man. Y'know like ah, like Goldman is a last name, but there's no Gold Man.",357,['Spiderman'],['I'],['3'],['I'],"[('Spiderman', 'I', '3', 'I')]","[('Spiderman', 'I', '3', 'I')]",1,1
3670,"Chandler Bing: No, it's not like, like Phil Spiderman. He's a spider, man. Y'know like ah, like Goldman is a last name, but there's no Gold Man.",Rachel Green: Hey!,"Phoebe Buffay: Oh, okay. There should be Gold Man!",357,[],[],[],[],[],[],0,0
3671,"Phoebe Buffay: Oh, okay. There should be Gold Man!","Monica Geller: Hey, Rach, how was work?",Rachel Green: Hey!,357,['Hey'],['G'],['1'],['I'],"[('Hey', 'G', '1', 'I')]",[],1,0
3672,Rachel Green: Hey!,"Rachel Green: Oh, great. Although I did sit down where there wasn't a chair.","Monica Geller: Hey, Rach, how was work?",357,['work'],['S'],['1'],['I'],"[('work', 'S', '1', 'I')]",[],1,0
3673,"Monica Geller: Hey, Rach, how was work?","Monica Geller: By the way, Ross dropped by a box of your stuff.","Rachel Green: Oh, great. Although I did sit down where there wasn't a chair.",357,['chair'],['M'],['1'],['T'],"[('chair', 'M', '1', 'T')]",[],1,0
3674,"Rachel Green: Oh, great. Although I did sit down where there wasn't a chair.","Rachel Green: Oh, well, I guess I had that one coming. I'm just gonna throw it out, it's probably just a bunch of shampoo and...","Monica Geller: By the way, Ross dropped by a box of your stuff.",357,['box'],['M'],['1'],['T'],"[('box', 'M', '1', 'T')]",[],1,0
3675,"Monica Geller: By the way, Ross dropped by a box of your stuff.",Monica Geller: Something wrong?,"Rachel Green: Oh, well, I guess I had that one coming. I'm just gonna throw it out, it's probably just a bunch of shampoo and...",357,"['shampoo', 'had it coming']","['M', 'F']","['1', '2']","['T', 'I']","[('shampoo', 'M', '1', 'T'), ('had it coming', 'F', '2', 'I')]",[],2,1
3676,"Rachel Green: Oh, well, I guess I had that one coming. I'm just gonna throw it out, it's probably just a bunch of shampoo and...",Rachel Green: No. Nothing.,Monica Geller: Something wrong?,357,[],[],[],[],[],[],0,0
3677,Monica Geller: Something wrong?,,Rachel Green: No. Nothing.,357,[],[],[],[],[],[],0,0
3678,,"Chandler Bing: So, ahh, what kind of powers would Gold Man have?","TRANSCRIPT_NOTE: [Scene: Chandler and Joey's, Phoebe and Chandler are sitting in the black chairs.]",358,['black chairs'],['M'],['1'],['T'],"[('black chairs', 'M', '1', 'T')]",[],1,0
3679,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's, Phoebe and Chandler are sitting in the black chairs.]","Phoebe Buffay: Okay well, he would turn things to gold.","Chandler Bing: So, ahh, what kind of powers would Gold Man have?",358,['Gold Man'],['I'],['3'],['I'],"[('Gold Man', 'I', '3', 'I')]","[('Gold Man', 'I', '3', 'I')]",1,1
3680,"Chandler Bing: So, ahh, what kind of powers would Gold Man have?",Chandler Bing: What about things that are already gold?,"Phoebe Buffay: Okay well, he would turn things to gold.",358,['he would turn things to gold'],['I'],['3'],['I'],"[('he would turn things to gold', 'I', '3', 'I')]","[('he would turn things to gold', 'I', '3', 'I')]",1,1
3681,"Phoebe Buffay: Okay well, he would turn things to gold.","Phoebe Buffay: Ahh, his work is done.",Chandler Bing: What about things that are already gold?,358,['gold'],['M'],['1'],['T'],"[('gold', 'M', '1', 'T')]",[],1,0
3682,Chandler Bing: What about things that are already gold?,"Chandler Bing: Okay, let's play my game now.","Phoebe Buffay: Ahh, his work is done.",358,['his work'],['I'],['1'],['I'],"[('his work', 'I', '1', 'I')]",[],1,0
3683,"Phoebe Buffay: Ahh, his work is done.",Phoebe Buffay: Okay. All right you yellow-bellied-lilly-livered-DRAW!!,"Chandler Bing: Okay, let's play my game now.",358,['play my game'],['S'],['2'],['I'],"[('play my game', 'S', '2', 'I')]",[],1,1
3684,"Chandler Bing: Okay, let's play my game now.",,Phoebe Buffay: Okay. All right you yellow-bellied-lilly-livered-DRAW!!,358,"['DRAW', 'yellow-bellied-lilly-livered-DRAW']","['G', 'F']","['3', '3']","['I', 'I']","[('DRAW', 'G', '3', 'I'), ('yellow-bellied-lilly-livered-DRAW', 'F', '3', 'I')]","[('yellow-bellied-lilly-livered-DRAW', 'F', '3', 'I')]",2,2
3685,,Joanna: Chandler is fantastic!!,"TRANSCRIPT_NOTE: [Scene: Rachel's office, Joanna's telling Rachel, her side of the story.]",359,"[""Rachel's office""]",['M'],['1'],['T'],"[(""Rachel's office"", 'M', '1', 'T')]",[],1,0
3686,"TRANSCRIPT_NOTE: [Scene: Rachel's office, Joanna's telling Rachel, her side of the story.]",Rachel Green: What?!,Joanna: Chandler is fantastic!!,359,[],[],[],[],[],[],0,0
3687,Joanna: Chandler is fantastic!!,"Joanna: Oh God, we just clicked! Y'know how people just click? Like he came by to pick me up, and I opened the door, and it was just like, click! Did he tell you?",Rachel Green: What?!,359,['What?!'],['G'],['1'],['I'],"[('What?!', 'G', '1', 'I')]",[],1,0
3688,Rachel Green: What?!,"Rachel Green: Oh, I....","Joanna: Oh God, we just clicked! Y'know how people just click? Like he came by to pick me up, and I opened the door, and it was just like, click! Did he tell you?",359,"['click', ""Y'know"", 'click']","['G', 'F', 'F']","['2', '2', '2']","['I', 'I', 'I']","[('click', 'G', '2', 'I'), (""Y'know"", 'F', '2', 'I'), ('click', 'F', '2', 'I')]",[],3,3
3689,"Joanna: Oh God, we just clicked! Y'know how people just click? Like he came by to pick me up, and I opened the door, and it was just like, click! Did he tell you?","Joanna: Oh, and he's got such a good heart! Doesn't he have a good heart?","Rachel Green: Oh, I....",359,[],[],[],[],[],[],0,0
3690,"Rachel Green: Oh, I....","Rachel Green: Oh, I know...","Joanna: Oh, and he's got such a good heart! Doesn't he have a good heart?",359,[],[],[],[],[],[],0,0
3691,"Joanna: Oh, and he's got such a good heart! Doesn't he have a good heart?","Joanna: Oh, I know and he's soo sweet! Listen, he said he was going to call, so put him straight through.","Rachel Green: Oh, I know...",359,[],[],[],[],[],[],0,0
3692,"Rachel Green: Oh, I know...",Sophie: Isn't this great?!,"Joanna: Oh, I know and he's soo sweet! Listen, he said he was going to call, so put him straight through.",359,['soo'],['F'],['2'],['I'],"[('soo', 'F', '2', 'I')]",[],1,1
3693,"Joanna: Oh, I know and he's soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna: Don't spoil it.,Sophie: Isn't this great?!,359,[],[],[],[],[],[],0,0
3694,Sophie: Isn't this great?!,,Joanna: Don't spoil it.,359,[],[],[],[],[],[],0,0
3695,,Joanna: Did he call?,TRANSCRIPT_NOTE: [Scene: Rachel's office.],360,['office'],['I'],['1'],['F'],"[('office', 'I', '1', 'F')]",[],1,0
3696,TRANSCRIPT_NOTE: [Scene: Rachel's office.],Rachel Green: No. Sorry.,Joanna: Did he call?,360,[],[],[],[],[],[],0,0
3697,Joanna: Did he call?,Joanna: Why?! Why?! He said he'd call. Why hasn't he called?,Rachel Green: No. Sorry.,360,['No can do'],['F'],['2'],['I'],"[('No can do', 'F', '2', 'I')]",[],1,1
3698,Rachel Green: No. Sorry.,"Sophie: Maybe he's intimated by really smart, strong, successful women.",Joanna: Why?! Why?! He said he'd call. Why hasn't he called?,360,[],[],[],[],[],[],0,0
3699,Joanna: Why?! Why?! He said he'd call. Why hasn't he called?,"Joanna: Sophie, would you please climb out of my butt. Why hasn't he called, Rachel? Why?","Sophie: Maybe he's intimated by really smart, strong, successful women.",360,"['really smart, strong, successful women']",['I'],['2'],['I'],"[('really smart, strong, successful women', 'I', '2', 'I')]",[],1,1
3700,"Sophie: Maybe he's intimated by really smart, strong, successful women.","Rachel Green: Okay, okay. Umm, well ah, maybe he, maybe he feels awkward because you are my boss.","Joanna: Sophie, would you please climb out of my butt. Why hasn't he called, Rachel? Why?",360,"['climb out of my butt', 'climb out of my butt']","['G', 'O']","['3', '3']","['I', 'I']","[('climb out of my butt', 'G', '3', 'I'), ('climb out of my butt', 'O', '3', 'I')]","[('climb out of my butt', 'G', '3', 'I'), ('climb out of my butt', 'O', '3', 'I')]",2,2
3701,"Joanna: Sophie, would you please climb out of my butt. Why hasn't he called, Rachel? Why?",Joanna: Awkward? Why should he feel awkward?,"Rachel Green: Okay, okay. Umm, well ah, maybe he, maybe he feels awkward because you are my boss.",360,['boss'],['I'],['1'],['F'],"[('boss', 'I', '1', 'F')]",[],1,0
3702,"Rachel Green: Okay, okay. Umm, well ah, maybe he, maybe he feels awkward because you are my boss.",Rachel Green: Well...,Joanna: Awkward? Why should he feel awkward?,360,['Awkward'],['F'],['1'],['I'],"[('Awkward', 'F', '1', 'I')]",[],1,0
3703,Joanna: Awkward? Why should he feel awkward?,"Joanna: The only person that should feel awkward is you, and you didn't tell him not to call me, did you?",Rachel Green: Well...,360,[],[],[],[],[],[],0,0
3704,Rachel Green: Well...,Rachel Green: No. I...,"Joanna: The only person that should feel awkward is you, and you didn't tell him not to call me, did you?",360,[],[],[],[],[],[],0,0
3705,"Joanna: The only person that should feel awkward is you, and you didn't tell him not to call me, did you?","Joanna: Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that.",Rachel Green: No. I...,360,[],[],[],[],[],[],0,0
3706,Rachel Green: No. I...,,"Joanna: Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that.",360,['work'],['I'],['2'],['I'],"[('work', 'I', '2', 'I')]",[],1,1
3707,,Rachel Green: Call her! Call her now!,"TRANSCRIPT_NOTE: [Scene: Central Perk, Chandler is reading a magazine as Rachel approaches.]",361,"['Central Park', 'paddle boating']","['E', 'M']","['2', '2']","['T', 'T']","[('Central Park', 'E', '2', 'T'), ('paddle boating', 'M', '2', 'T')]","[('Central Park', 'E', '2', 'T'), ('paddle boating', 'M', '2', 'T')]",2,2
3708,"TRANSCRIPT_NOTE: [Scene: Central Perk, Chandler is reading a magazine as Rachel approaches.]","Chandler Bing: Multiple, so many paper cuts.",Rachel Green: Call her! Call her now!,361,[],[],[],[],[],[],0,0
3709,Rachel Green: Call her! Call her now!,"Rachel Green: Why hasn't he called Rachel? Why? Why? I don't understand. Why? He said he'll call. Why? Why? Chandler I'm telling you she has flipped out, she's gone crazy!","Chandler Bing: Multiple, so many paper cuts.",361,['paper cuts'],['M'],['1'],['I'],"[('paper cuts', 'M', '1', 'I')]",[],1,0
3710,"Chandler Bing: Multiple, so many paper cuts.","Chandler Bing: Oh, well give me the phone then.","Rachel Green: Why hasn't he called Rachel? Why? Why? I don't understand. Why? He said he'll call. Why? Why? Chandler I'm telling you she has flipped out, she's gone crazy!",361,[],[],[],[],[],[],0,0
3711,"Rachel Green: Why hasn't he called Rachel? Why? Why? I don't understand. Why? He said he'll call. Why? Why? Chandler I'm telling you she has flipped out, she's gone crazy!","Rachel Green: Come on, this isn't funny. She thinks it's my fault that you haven't called her. You have to call her!","Chandler Bing: Oh, well give me the phone then.",361,['phone'],['M'],['1'],['T'],"[('phone', 'M', '1', 'T')]",[],1,0
3712,"Chandler Bing: Oh, well give me the phone then.","Chandler Bing: Look, you can't call somebody after this long just to say, 'In case you didn't notice, I don't like you!'","Rachel Green: Come on, this isn't funny. She thinks it's my fault that you haven't called her. You have to call her!",361,[],[],[],[],[],[],0,0
3713,"Rachel Green: Come on, this isn't funny. She thinks it's my fault that you haven't called her. You have to call her!",Rachel Green: Well then you're going to have to take her out again.,"Chandler Bing: Look, you can't call somebody after this long just to say, 'In case you didn't notice, I don't like you!'",361,"[""I don't like you""]",['O'],['1'],['I'],"[(""I don't like you"", 'O', '1', 'I')]",[],1,0
3714,"Chandler Bing: Look, you can't call somebody after this long just to say, 'In case you didn't notice, I don't like you!'",Chandler Bing: Nooo!! She's really dull! And she gets this gross mascara goop thing in the corner of her eye!,Rachel Green: Well then you're going to have to take her out again.,361,['take her out'],['S'],['2'],['I'],"[('take her out', 'S', '2', 'I')]","[('take her out', 'S', '2', 'I')]",1,1
3715,Rachel Green: Well then you're going to have to take her out again.,"Rachel Green: I don't care! I don't care! You are going to have to take her out again and end it, and end it in way that she knows it's actually ended. And, I don't care how hard it is for you, do not tell her that you will call her again!",Chandler Bing: Nooo!! She's really dull! And she gets this gross mascara goop thing in the corner of her eye!,361,['mascara'],['M'],['2'],['T'],"[('mascara', 'M', '2', 'T')]",[],1,1
3716,Chandler Bing: Nooo!! She's really dull! And she gets this gross mascara goop thing in the corner of her eye!,"Chandler Bing: All right! Fine! But it's just a lunch date, no more than an hour! And from now on I get my own dates, I don't want you setting me up with anybody ever again!","Rachel Green: I don't care! I don't care! You are going to have to take her out again and end it, and end it in way that she knows it's actually ended. And, I don't care how hard it is for you, do not tell her that you will call her again!",361,[],[],[],[],[],[],0,0
3717,"Rachel Green: I don't care! I don't care! You are going to have to take her out again and end it, and end it in way that she knows it's actually ended. And, I don't care how hard it is for you, do not tell her that you will call her again!",Rachel Green: That's fine!,"Chandler Bing: All right! Fine! But it's just a lunch date, no more than an hour! And from now on I get my own dates, I don't want you setting me up with anybody ever again!",361,['lunch date'],['S'],['2'],['I'],"[('lunch date', 'S', '2', 'I')]","[('lunch date', 'S', '2', 'I')]",1,1
3718,"Chandler Bing: All right! Fine! But it's just a lunch date, no more than an hour! And from now on I get my own dates, I don't want you setting me up with anybody ever again!","Chandler Bing: That's just a lot of big talk, y'know.",Rachel Green: That's fine!,361,[],[],[],[],[],[],0,0
3719,Rachel Green: That's fine!,Rachel Green: I know.,"Chandler Bing: That's just a lot of big talk, y'know.",361,[],[],[],[],[],[],0,0
3720,"Chandler Bing: That's just a lot of big talk, y'know.",,Rachel Green: I know.,361,[],[],[],[],[],[],0,0
3721,,Ross Geller: Mon?,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's, Ross is entering.]",362,"['turkey', 'stuffing', 'pumpkin pie', 'Thanksgiving dinner']","['M', 'M', 'M', 'S']","['2', '2', '2', '2']","['T', 'T', 'T', 'F']","[('turkey', 'M', '2', 'T'), ('stuffing', 'M', '2', 'T'), ('pumpkin pie', 'M', '2', 'T'), ('Thanksgiving dinner', 'S', '2', 'F')]","[('turkey', 'M', '2', 'T'), ('stuffing', 'M', '2', 'T'), ('pumpkin pie', 'M', '2', 'T'), ('Thanksgiving dinner', 'S', '2', 'F')]",4,4
3722,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's, Ross is entering.]",Monica Geller: I'm in the shower!,Ross Geller: Mon?,362,['Mon'],['G'],['3'],['I'],"[('Mon', 'G', '3', 'I')]",[],1,1
3723,Ross Geller: Mon?,TRANSCRIPT_NOTE: [He closes the door and walks over to get something from the fridge. He starts to smell something and turns around to see Phoebe's dollhouse smoking. He runs over and takes off the roof to reveal that the dollhouse fire.],Monica Geller: I'm in the shower!,362,['shower'],['M'],['1'],['T'],"[('shower', 'M', '1', 'T')]",[],1,0
